Municipality Name,County, Total,,,,,,,,,,,,,,,
Scotch Plains township,Union,142207155,,,,,,,,,,,,,,,
Sea Bright borough,Monmouth,11735226,,,,,,,,,,,,,,,
Sea Girt borough,Monmouth,14843958,,,,,,,,,,,,,,,
Seaside Heights borough,Ocean,0,,,,,,,,,,,,,,,
Seaside Park borough,Ocean,8702254,,,,,,,,,,,,,,,
Secaucus town,Hudson,344776452,,,,,,,,,,,,,,,
Shamong township,Burlington,41611825,,,,,,,,,,,,,,,
Ship Bottom borough,Ocean,23848340,,,,,,,,,,,,,,,
Shrewsbury borough,Monmouth,69404948,,,,,,,,,,,,,,,
Shrewsbury township,Monmouth,13878171,,,,,,,,,,,,,,,
Somerdale borough,Camden,39257575,,,,,,,,,,,,,,,
Somerville borough,Somerset,196397868,,,,,,,,,,,,,,,
South Amboy city,Middlesex,55094611,,,,,,,,,,,,,,,
South Bound Brook borough,Somerset,24755165,,,,,,,,,,,,,,,
South Brunswick township,Middlesex,490989496,,,,,,,,,,,,,,,
South Hackensack township,Bergen,0,,,,,,,,,,,,,,,
South Harrison township,Gloucester,24986440,,,,,,,,,,,,,,,
South Orange Village township,Essex,93743702,,,,,,,,,,,,,,,
South Plainfield borough,Middlesex,259808838,,,,,,,,,,,,,,,
South River borough,Middlesex,96078630,,,,,,,,,,,,,,,
South Toms River borough,Ocean,18000274,,,,,,,,,,,,,,,
Southampton township,Burlington,77080700,,,,,,,,,,,,,,,
Sparta township,Sussex,165038460,,,,,,,,,,,,,,,
Spotswood borough,Middlesex,50584124,,,,,,,,,,,,,,,
Spring Lake borough,Monmouth,16060326,,,,,,,,,,,,,,,
Spring Lake Heights borough,Monmouth,33364141,,,,,,,,,,,,,,,
Springfield township,Burlington,32651805,,,,,,,,,,,,,,,
Springfield township,Union,158471742,,,,,,,,,,,,,,,
Stafford township,Ocean,269233230,,,,,,,,,,,,,,,
Stanhope borough,Sussex,57917008,,,,,,,,,,,,,,,
Stillwater township,Sussex,28521489,,,,,,,,,,,,,,,
Stockton borough,Hunterdon,5732368,,,,,,,,,,,,,,,
Stratford borough,Camden,45835970,,,,,,,,,,,,,,,
Summit city,Union,222093653,,,,,,,,,,,,,,,
Surf City borough,Ocean,0,,,,,,,,,,,,,,,
Sussex borough,Sussex,23638837,,,,,,,,,,,,,,,
Swedesboro borough,Gloucester,26186925,,,,,,,,,,,,,,,
Tabernacle township,Burlington,47794925,,,,,,,,,,,,,,,
Tavistock borough,Camden,454790,,,,,,,,,,,,,,,
Teaneck township,Bergen,259415086,,,,,,,,,,,,,,,
Tenafly borough,Bergen,80320000,,,,,,,,,,,,,,,
Teterboro borough,Bergen,128434911,,,,,,,,,,,,,,,
Tewksbury township,Hunterdon,49655573,,,,,,,,,,,,,,,
